Token;Label
jusqu';
à;
douze;
ans;
dans;
la;
maison;
;
puis;
;
malgré;
les;
pleurs;
de;
la;
mère;
;
elle;
fut;
mise;
au;B-ORG
Sacré;I-ORG
-;I-ORG
Cœur;I-ORG
.;
Il;
l';
avait;
tenue;
là;
sévèrement;
enfermée;
;
cloîtrée;
;
ignorée;
et;
ignorante;
des;
choses;
humaines;
.;
Il;
voulait;
qu';
on;
la;
lui;
rendît;
chaste;
à;
dix-sept;
ans;
pour;
la;
tremper;
lui-même;
dans;
une;
sorte;
de;
bain;
de;
poésie;
raisonnable;
;
et;
;
par;
les;
champs;
;
au;
milieu;
de;
la;
terre;
fécondée;
;
ouvrir;
son;
âme;
;
dégourdir;
son;
ignorance;
à;
l';
aspect;
de;
l';
amour;
naïf;
;
des;
tendresses;
simples;
des;
animaux;
;
des;
lois;
sereines;
de;
la;
vie;
.;
Elle;
sortait;
maintenant;
du;
couvent;
;
radieuse;
;
pleine;
de;
sèves;
et;
d';
appétits;
de;
bonheur;
;
prête;
à;
toutes;
les;
joies;
;
à;
tous;
les;
hasards;
charmants;
que;
;
dans;
le;
désœuvrement;
des;
jours;
;
la;
longueur;
des;
nuits;
;
la;
solitude;
des;
espérances;
;
son;
esprit;
avait;
déjà;
parcourus;
.;
Elle;
semblait;
un;
portrait;
de;
Véronèse;B-PER
avec;
ses;
cheveux;
d';
un;
blond;
luisant;
qu';
on;
aurait;
dit;
avoir;
déteint;
sur;
sa;
chair;
;
une;
chair;
d';
aristocrate;
à;
peine;
nuancée;
de;
rose;
;
ombrée;
d';
un;
léger;
duvet;
;
d';
une;
sorte;
de;
velours;
pâle;
qu';
on;
apercevait;
un;
peu;
quand;
le;
soleil;
la;
caressait;
.;
Ses;
yeux;
étaient;
bleus;
;
de;
ce;
bleu;
opaque;
qu';
ont;
ceux;
des;
bonshommes;
en;
faïence;
de;
Hollande;B-LOC
.;
Elle;
avait;
;
sur;
l';
aile;
gauche;
de;
la;
narine;
;
un;
petit;
grain;
de;
beauté;
;
un;
autre;
à;
droite;
;
sur;
le;
menton;
;
où;
frisaient;
quelques;
poils;
si;
semblables;
à;
sa;
peau;
qu';
on;
les;
distinguait;
à;
peine;
.;
Elle;
était;
grande;
;
mûre;
de;
poitrine;
;
ondoyante;
de;
la;
taille;
.;
Sa;
voix;
nette;
semblait;
parfois;
trop;
aiguë;
;
mais;
son;
rire;
franc;
jetait;
de;
la;
joie;
autour;
d';
elle;
.;
Souvent;
;
d';
un;
geste;
familier;
;
elle;
portait;
ses;
deux;
mains;
à;
ses;
tempes;
comme;
pour;
lisser;
sa;
chevelure;
.;
Elle;
courut;
à;
son;
père;
et;
l';
embrassa;
;
en;
l';
étreignant;
:;
«;
Eh;
bien;
;
partons;
-nous;
?;
»;
dit;
-elle;
.;
Il;
sourit;
;
secoua;
ses;
cheveux;
déjà;
blancs;
et;
qu';
il;
portait;
assez;
longs;
;
et;
;
tendant;
la;
main;
vers;
la;
fenêtre;
:;
«;
Comment;
veux;
-;
tu;
voyager;
par;
un;
temps;
pareil;
?;
»;
Mais;
elle;
le;
priait;
;
câline;
et;
tendre;
:;
«;
Oh;
!;
papa;
;
partons;
;
je;
t';
en;
supplie;
.;
Il;
fera;
beau;
dans;
l';
après-midi;
.;
—;
Mais;
ta;
mère;
n';
y;
consentira;
jamais;
.;
—;
Si;
;
je;
te;
le;
promets;
;
je;
m';
en;
charge;
.;
—;
Si;
tu;
parviens;
à;
décider;
ta;
mère;
;
je;
veux;
bien;
;
moi;
.;
»;
Et;
elle;
se;
précipita;
vers;
la;
chambre;
de;
la;B-PER
baronne;
.;
Car;
elle;
avait;
attendu;
ce;
jour;
du;
départ;
avec;
une;
impatience;
grandissante;
.;
Depuis;
son;
entrée;
au;B-ORG
Sacré;I-ORG
-;I-ORG
Cœur;I-ORG
elle;
n';
avait;
pas;
quitté;
Rouen;B-LOC
;
son;
père;
ne;
permettant;
aucune;
distraction;
avant;
l';
âge;
qu';
il;
avait;
fixé;
.;
Deux;
fois;
seulement;
on;
l';
avait;
emmenée;
quinze;
jours;
à;
Paris;B-LOC
;
mais;
c';
était;
une;
ville;
encore;
;
et;
elle;
ne;
rêvait;
que;
la;
campagne;
.;
Elle;
allait;
maintenant;
passer;
l';
été;
dans;
leur;
propriété;
des;
Peuples;
;
vieux;
château;
de;
famille;
planté;
sur;
la;
falaise;
près;
d';
Yport;B-LOC
;
et;
elle;
se;
promettait;
une;
joie;
infinie;
de;
cette;
vie;
libre;
au;
bord;
des;
flots;
.;
Puis;
;
il;
était;
entendu;
qu';
on;
lui;
faisait;
don;
de;
ce;
manoir;
;
qu';
elle;
habiterait;
toujours;
lorsqu';
elle;
serait;
mariée;
.;
Et;
la;
pluie;
;
tombant;
sans;
répit;
depuis;
la;
veille;
au;
soir;
;
était;
le;
premier;
gros;
chagrin;
de;
son;
existence;
.;
Mais;
;
au;
bout;
de;
trois;
minutes;
;
elle;
sortit;
;
en;
courant;
;
de;
la;
chambre;
de;
sa;
mère;
;
criant;
par;
toute;
la;
maison;
:;
«;
Papa;
;
papa;
!;
maman;
veut;
bien;
;
fais;
atteler;
.;
»;
Le;
déluge;
ne;
s';
apaisait;
point;
;
on;
eût;
dit;
même;
qu';
il;
redoublait;
quand;
la;
calèche;
s';
avança;
devant;
la;
porte;
.;
Jeanne;B-PER
était;
prête;
à;
monter;
en;
voiture;
lorsque;
la;B-PER
baronne;I-PER
descendit;
l';
escalier;
;
soutenue;
d';
un;
côté;
par;
son;
mari;
;
et;
;
de;
l';
autre;
;
par;
une;
grande;
fille;
de;
chambre;
forte;
et;
bien;
découplée;
comme;
un;
gars;
.;
C';
était;
une;
Normande;B-MISC
du;B-LOC
pays;I-LOC
de;I-LOC
Caux;I-LOC
;
qui;
paraissait;
au;
moins;
vingt;
ans;
;
bien;
qu';
elle;
en;
eût;
au;
plus;
dix-huit;
.;
On;
la;
traitait;
dans;
la;
famille;
un;
peu;
comme;
une;
seconde;
fille;
;
car;
elle;
avait;
été;
la;
sœur;
de;
lait;
de;
Jeanne;B-PER
.;
Elle;
s';
appelait;
Rosalie;B-PER
.;
Sa;
principale;
fonction;
consistait;
d';
ailleurs;
à;
guider;
les;
pas;
de;
sa;
maîtresse;
devenue;
énorme;
depuis;
quelques;
années;
par;
suite;
d';
une;
hypertrophie;
du;
cœur;
dont;
elle;
se;
plaignait;
sans;
cesse;
.;
La;B-PER
baronne;I-PER
atteignit;
;
en;
soufflant;
beaucoup;
;
le;
perron;
du;
vieil;
hôtel;
;
regarda;
la;
cour;
où;
l';
eau;
ruisselait;
et;
murmura;
:;
«;
Ce;
n';
est;
vraiment;
pas;
raisonnable;
.;
»;
Son;
mari;
;
toujours;
souriant;
;
répondit;
:;
«;
C';
est;
vous;
qui;
l';
avez;
voulu;
;
madame;B-PER
Adélaïde;I-PER
.;
»;
Comme;
elle;
portait;
ce;
nom;
pompeux;
d';
Adélaïde;B-PER
;
il;
le;
faisait;
toujours;
précéder;
de;
«;
madame;
»;
avec;
un;
certain;
air;
de;
respect;
un;
peu;
moqueur;
.;
Puis;
elle;
se;
remit;
en;
marche;
et;
monta;
péniblement;
dans;
la;
voiture;
dont;
tous;
les;
ressorts;
plièrent;
.;
Le;B-PER
baron;I-PER
s';
assit;
à;
son;
côté;
;
Jeanne;B-PER
et;
Rosalie;B-PER
prirent;
place;
sur;
la;
banquette;
à;
reculons;
.;
La;
cuisinière;
Ludivine;B-PER
apporta;
des;
masses;
de;
manteaux;
qu';
on;
disposa;
sur;
les;
genoux;
;
plus;
deux;
paniers;
qu';
on;
dissimula;
sous;
les;
jambes;
;
puis;
elle;
grimpa;
sur;
le;
siège;
à;
côté;
du;B-PER
père;I-PER
Simon;I-PER
;
et;
s';
enveloppa;
d';
une;
grande;
couverture;
qui;
la;
coiffait;
entièrement;
.;
Le;
concierge;
et;
sa;
femme;
vinrent;
saluer;
en;
fermant;
la;
portière;
;
ils;
reçurent;
les;
dernières;
recommandations;
pour;
les;
malles;
qui;
devaient;
suivre;
dans;
une;
charrette;
;
et;
on;
partit;
.;
Le;B-PER
père;I-PER
Simon;I-PER
;
le;
cocher;
;
la;
tête;
baissée;
;
le;
dos;
arrondi;
sous;
la;
pluie;
;
disparaissait;
dans;
son;
carrick;
à;
triple;
collet;
.;
La;
bourrasque;
gémissante;
battait;
les;
vitres;
;
inondait;
la;
chaussée;
.;
La;
berline;
;
au;
grand;
trot;
des;
deux;
chevaux;
;
dévala;
rondement;
sur;
le;
quai;
;
longea;
la;
ligne;
des;
grands;
navires;
dont;
les;
mâts;
;
les;
vergues;
;
les;
cordages;
se;
dressaient;
tristement;
dans;
le;
ciel;
ruisselant;
;
comme;
des;
arbres;
dépouillés;
;
puis;
elle;
s';
engagea;
sur;
le;
long;
boulevard;B-LOC
du;I-LOC
mont;I-LOC
Riboudet;I-LOC
.;
Bientôt;
;
on;
traversa;
les;
prairies;
;
et;
;
de;
temps;
en;
temps;
;
un;
saule;
noyé;
;
les;
branches;
tombantes;
;
avec;
un;
abandonnement;
de;
cadavre;
;
se;
dessinait;
gravement;
à;
travers;
un;
brouillard;
d';
eau;
.;
Les;
fers;
des;
chevaux;
clapotaient;
et;
les;
quatre;
roues;
faisaient;
des;
soleils;
de;
boue;
.;
On;
se;
taisait;
;
les;
esprits;
eux;
-;
mêmes;
semblaient;
mouillés;
comme;
la;
terre;
.;
Petite;
mère;
;
se;
renversant;
;
appuya;
sa;
tête;
et;
ferma;
les;
paupières;
.;
Le;B-PER
baron;I-PER
considérait;
d';
un;
œil;
morne;
les;
campagnes;
monotones;
et;
trempées;
.;
Rosalie;B-PER
;
un;
paquet;
sur;
les;
genoux;
;
songeait;
de;
cette;
songerie;
animale;
des;
gens;
du;
peuple;
.;
Mais;
Jeanne;B-PER
;
sous;
ce;
ruissellement;
tiède;
;
se;
sentait;
revivre;
ainsi;
qu';
une;
plante;
enfermée;
qu';
on;
vient;
de;
remettre;
à;
l';
air;
;
et;
l';
épaisseur;
de;
sa;
joie;
;
comme;
un;
feuillage;
;
abritait;
son;
cœur;
de;
la;
tristesse;
.;
Bien;
qu';
elle;
ne;
parlât;
pas;
;
elle;
avait;
envie;
de;
chanter;
;
de;
tendre;
au;
-;
dehors;
sa;
main;
pour;
l';
emplir;
d';
eau;
qu';
elle;
boirait;
;
et;
elle;
jouissait;
d';
être;
emportée;
au;
grand;
trot;
des;
chevaux;
;
de;
voir;
la;
désolation;
des;
paysages;
;
et;
de;
se;
sentir;
à;
l';
abri;
au;
milieu;
de;
cette;
inondation;
.;
Et;
;
sous;
la;
pluie;
acharnée;
;
les;
croupes;
luisantes;
des;
deux;
bêtes;
exhalaient;
une;
buée;
d';
eau;
bouillante;
.;
La;B-PER
baronne;I-PER
;
peu;
à;
peu;
;
s';
endormait;
.;
Sa;
figure;
;
qu';
encadraient;
six;
boudins;
réguliers;
de;
cheveux;
pendillants;
;
s';
affaissa;
peu;
à;
peu;
;
mollement;
soutenue;
par;
les;
trois;
grandes;
vagues;
de;
son;
cou;
;
dont;
les;
dernières;
ondulations;
se;
perdaient;
dans;
la;
pleine;
mer;
de;
sa;
poitrine;
.;
Sa;
tête;
;
soulevée;
à;
chaque;
aspiration;
;
retombait;
ensuite;
;
les;
joues;
s';
enflaient;
;
tandis;
que;
;
entre;
ses;
lèvres;
entrouvertes;
;
passait;
un;
ronflement;
sonore;
.;
Son;
mari;
se;
pencha;
sur;
elle;
;
et;
posa;
doucement;
;
dans;
ses;
mains;
croisées;
sur;
l';
ampleur;
de;
son;
ventre;
;
un;
petit;
portefeuille;
en;
cuir;
.;
Ce;
toucher;
la;
réveilla;
;
et;
elle;
considéra;
l';
objet;
d';
un;
regard;
noyé;
;
avec;
cet;
hébétement;
des;
sommeils;
interrompus;
.;
Le;
portefeuille;
tomba;
;
s';
ouvrit;
.;
De;
l';
or;
et;
des;
billets;
de;
banque;
s';
éparpillèrent;
dans;
la;
calèche;
.;
Elle;
s';
éveilla;
tout;
à;
fait;
;
et;
la;
gaieté;
de;
sa;
fille;
partit;
en;
une;
fusée;
de;
rires;
.;
Le;B-PER
baron;I-PER
ramassa;
l';
argent;
;
et;
;
le;
lui;
posant;
sur;
les;
genoux;
:;
«;
Voici;
;
ma;
chère;
amie;
;
tout;
ce;
qui;
reste;
de;
ma;
ferme;
d';
Életot;B-LOC
.;
Je;
l';
ai;
vendue;
pour;
faire;
réparer;
les;
Peuples;
où;
nous;
habiterons;
souvent;
désormais;
.;
»;
Elle;
compta;
six;
mille;
et;
quatre;
cents;
francs;
et;
les;
mit;
tranquillement;
dans;
sa;
poche;
.;
C';
était;
la;
neuvième;
ferme;
vendue;
ainsi;
;
sur;
trente;
et;
une;
que;
leurs;
parents;
avaient;
laissées;
.;
Ils;
possédaient;
cependant;
encore;
environ;
vingt;
mille;
livres;
de;
rentes;
en;
terres;
qui;
;
bien;
administrées;
;
auraient;
facilement;
rendu;
trente;
mille;
francs;
par;
an;
.;
Comme;
ils;
vivaient;
simplement;
;
ce;
revenu;
aurait;
suffi;
s';
il;
n';
y;
avait;
eu;
dans;
la;
maison;
un;
trou;
sans;
fond;
toujours;
ouvert;
;
la;
bonté;
.;
Elle;
tarissait;
l';
argent;
dans;
leurs;
mains;
comme;
le;
soleil;
tarit;
l';
eau;
des;
marécages;
.;
Cela;
coulait;
;
fuyait;
;
disparaissait;
.;
Comment;
?;
Personne;
n';
en;
savait;
rien;
.;
À;
tout;
moment;
l';
un;
d';
eux;
disait;
:;
«;
Je;
ne;
sais;
comment;
cela;
s';
est;
fait;
;
j';
ai;
dépensé;
cent;
francs;
aujourd'hui;
sans;
rien;
acheter;
de;
gros;
.;
»;
Cette;
facilité;
de;
donner;
était;
;
du;
reste;
;
un;
des;
grands;
bonheurs;
de;
leur;
vie;
;
et;
ils;
s';
entendaient;
sur;
ce;
point;
d';
une;
façon;
superbe;
et;
touchante;
.;
Jeanne;B-PER
demanda;
:;
«;
Est;
-ce;
beau;
;
maintenant;
;
mon;
château;
?;
»;
Le;B-PER
baron;I-PER
répondit;
gaiement;
:;
«;
Tu;
verras;
;
fillette;
.;
»;
Mais;
peu;
à;
peu;
;
la;
violence;
de;
l';
averse;
diminuait;
;
puis;
ce;
ne;
fut;
plus;
qu';
une;
sorte;
de;
brume;
;
une;
très;
fine;
poussière;
de;
pluie;
voltigeant;
.;
La;
voûte;
des;
nuées;
semblait;
s';
élever;
;
blanchir;
;
et;
soudain;
;
par;
un;
trou;
qu';
on;
ne;
voyait;
point;
;
un;
long;
rayon;
de;
soleil;
oblique;
descendit;
sur;
les;
prairies;
.;
Et;
;
les;
nuages;
s';
étant;
fendus;
;
le;
fond;
bleu;
du;
firmament;
parut;
;
puis;
la;
déchirure;
s';
agrandit;
;
comme;
un;
voile;
qui;
se;
déchire;
;
et;
un;
beau;
ciel;
pur;
;
d';
un;
azur;
net;
et;
profond;
;
se;
développa;
sur;
le;
monde;
.;
Un;
souffle;
frais;
et;
doux;
passa;
;
comme;
un;
soupir;
heureux;
de;
la;
terre;
;
et;
;
quand;
on;
longeait;
des;
jardins;
ou;
des;
bois;
;
on;
entendait;
parfois;
le;
chant;
alerte;
d';
un;
oiseau;
qui;
séchait;
ses;
plumes;
.;
Le;
soir;
venait;
.;
Tout;
le;
monde;
dormait;
maintenant;
dans;
la;
voiture;
;
excepté;
Jeanne;B-PER
.;
Deux;
fois;
on;
s';
arrêta;
dans;
des;
auberges;
pour;
laisser;
souffler;
les;
chevaux;
et;
leur;
donner;
un;
peu;
d';
avoine;
avec;
de;
l';
eau;
.;
Le;
soleil;
s';
était;
couché;
;
des;
cloches;
sonnaient;
au;
loin;
.;
Dans;
un;
petit;
village;
on;
alluma;
les;
lanternes;
;
et;
le;
ciel;
aussi;
s';
illumina;
d';
un;
fourmillement;
d';
étoiles;
.;
Des;
maisons;
éclairées;
apparaissaient;
de;
place;
en;
place;
;
traversant;
les;
ténèbres;
d';
un;
point;
de;
feu;
;
et;
tout;
d';
un;
coup;
;
derrière;
une;
côte;
;
à;
travers;
des;
branches;
de;
sapins;
;
la;
lune;
;
rouge;
;
énorme;
;
et;
comme;
engourdie;
de;
sommeil;
;
surgit;
.;
Il;
faisait;
si;
doux;
que;
les;
vitres;
demeuraient;
baissées;
.;
Jeanne;B-PER
;
épuisée;
de;
rêve;
;
rassasiée;
de;
visions;
heureuses;
;
se;
reposait;
maintenant;
.;
Parfois;
l';
engourdissement;
d';
une;
position;
prolongée;
lui;
faisait;
rouvrir;
les;
yeux;
;
alors;
elle;
regardait;
au;
-;
dehors;
;
voyait;
dans;
la;
nuit;
lumineuse;
passer;
les;
arbres;
d';
une;
ferme;
;
ou;
bien;
quelques;
vaches;
çà;
et;
là;
couchées;
en;
un;
champ;
;
et;
qui;
relevaient;
la;
tête;
.;
Puis;
elle;
cherchait;
une;
posture;
nouvelle;
;
essayait;
de;
ressaisir;
un;
songe;
ébauché;
;
mais;
le;
roulement;
continu;
de;
la;
voiture;
emplissait;
ses;
oreilles;
;
fatiguait;
sa;
pensée;
et;
elle;
refermait;
les;
yeux;
;
se;
sentant;
l';
esprit;
courbaturé;
comme;
le;
corps;
.;
Cependant;
on;
s';
arrêta;
.;
Des;
hommes;
et;
des;
femmes;
se;
tenaient;
debout;
devant;
les;
portières;
avec;
des;
lanternes;
à;
la;
main;
.;
On;
arrivait;
.;
Jeanne;B-PER
;
subitement;
réveillée;
;
sauta;
bien;
vite;
.;
Père;B-PER
et;
Rosalie;B-PER
;
éclairés;
par;
un;
fermier;
;
portèrent;
presque;
la;B-PER
baronne;I-PER
tout;
à;
fait;
exténuée;
;
geignant;
de;
détresse;
;
et;
répétant;
sans;
cesse;
d';
une;
petite;
voix;
expirante;
:;
«;
Ah;
!;
mon;
Dieu;B-MISC
!;
mes;
pauvres;
enfants;
!;
»;
Elle;
ne;
voulut;
rien;
boire;
;
rien;
manger;
;
se;
coucha;
et;
tout;
aussitôt;
dormit;
.;
Jeanne;B-PER
et;
le;B-PER
baron;I-PER
soupèrent;
en;
tête-à-tête;
.;
Ils;
souriaient;
en;
se;
regardant;
;
se;
prenaient;
les;
mains;
à;
travers;
la;
table;
;
et;
;
saisis;
tous;
deux;
d';
une;
joie;
enfantine;
;
ils;
se;
mirent;
à;
visiter;
le;
manoir;
réparé;
.;
C';
était;
une;
de;
ces;
hautes;
et;
vastes;
demeures;
normandes;
tenant;
de;
la;
ferme;
et;
du;
château;
;
bâties;
en;
pierres;
blanches;
devenues;
grises;
;
et;
spacieuses;
à;
loger;
une;
race;
.;
Un;
immense;
vestibule;
séparait;
en;
deux;
la;
maison;
et;
la;
traversait;
de;
part;
en;
part;
;
ouvrant;
ses;
grandes;
portes;
sur;
les;
deux;
faces;
.;
Un;
double;
escalier;
semblait;
enjamber;
cette;
entrée;
;
laissant;
vide;
le;
centre;
;
et;
joignant;
au;
premier;
ses;
deux;
montées;
à;
la;
façon;
d';
un;
pont;
.;
Au;
rez-de-chaussée;
;
à;
droite;
;
on;
entrait;
dans;
le;
salon;
démesuré;
;
tendu;
de;
tapisseries;
à;
feuillages;
où;
se;
promenaient;
des;
oiseaux;
.;
Tout;
le;
meuble;
;
en;
tapisserie;
au;
petit;
point;
;
n';
était;
que;
l';
illustration;
des;B-MISC
Fables;I-MISC
de;I-MISC
La;I-MISC
Fontaine;I-MISC
;
et;
Jeanne;B-PER
eut;
un;
tressaillement;
de;
plaisir;
en;
retrouvant;
une;
chaise;
qu';
elle;
avait;
aimée;
;
étant;
tout;
enfant;
;
et;
qui;
représentait;
l';B-MISC
histoire;I-MISC
du;I-MISC
Renard;I-MISC
et;I-MISC
de;I-MISC
la;I-MISC
Cigogne;I-MISC
.;
À;
côté;
du;
salon;
s';
ouvraient;
la;
bibliothèque;
;
pleine;
de;
livres;
anciens;
;
et;
deux;
autres;
pièces;
inutilisées;
;
à;
gauche;
;
la;
salle;
à;
manger;
en;
boiseries;
neuves;
;
la;
lingerie;
;
l';
office;
;
la;
cuisine;
et;
un;
petit;
appartement;
contenant;
une;
baignoire;
.;
Un;
corridor;
coupait;
en;
long;
tout;
le;
premier;
étage;
.;
Les;
dix;
portes;
des;
dix;
chambres;
s';
alignaient;
sur;
cette;
allée;
.;
Tout;
au;
fond;
;
à;
droite;
;
était;
l';
appartement;
de;
Jeanne;B-PER
.;
Ils;
y;
entrèrent;
.;
Le;B-PER
baron;I-PER
venait;
de;
le;
faire;
remettre;
à;
neuf;
;
ayant;
employé;
simplement;
des;
tentures;
et;
des;
meubles;
restés;
sans;
usage;
dans;
les;
greniers;
.;
Des;
tapisseries;
d';
origine;
flamande;B-MISC
;
et;
très;
vieilles;
;
peuplaient;
ce;
lieu;
de;
personnages;
singuliers;
.;
Mais;
;
en;
apercevant;
son;
lit;
;
la;
jeune;
fille;
poussa;
des;
cris;
de;
joie;
.;
Aux;
quatre;
coins;
;
quatre;
grands;
oiseaux;
de;
chêne;
;
tout;
noirs;
et;
luisants;
de;
cire;
;
portaient;
la;
couche;
et;
paraissaient;
en;
être;
les;
gardiens;
.;
Les;
côtés;
représentaient;
deux;
larges;
guirlandes;
de;
fleurs;
et;
de;
fruits;
sculptés;
;
et;
quatre;
colonnes;
finement;
cannelées;
;
que;
terminaient;
des;
chapiteaux;
corinthiens;B-MISC
;
soulevaient;
une;
corniche;
de;
roses;
et;
d';
amours;
enroulés;
.;
Il;
se;
dressait;
;
monumental;
;
et;
tout;
gracieux;
cependant;
;
malgré;
la;
sévérité;
du;
bois;
bruni;
par;
le;
temps;
.;
Le;
couvre-pied;
et;
la;
tenture;
du;
ciel;
de;
lit;
scintillaient;
comme;
deux;
firmaments;
.;
Ils;
étaient;
faits;
d';
une;
soie;
antique;
d';
un;
bleu;
foncé;
qu';
étoilaient;
;
par;
places;
;
de;
grandes;
fleurs;
de;
lis;
brodées;
d';
or;
.;
Quand;
elle;
l';
eut;
bien;
admiré;
;
Jeanne;B-PER
;
élevant;
sa;
lumière;
;
examina;
les;
tapisseries;
pour;
en;
comprendre;
le;
sujet;
.;
Un;
jeune;
seigneur;
et;
une;
jeune;
dame;
habillés;
en;
vert;
;
en;
rouge;
et;
en;
jaune;
;
de;
la;
façon;
la;
plus;
étrange;
;
causaient;
sous;
un;
arbre;
bleu;
où;
mûrissaient;
des;
fruits;
blancs;
.;
Un;
gros;
lapin;
de;
même;
couleur;
broutait;
un;
peu;
d';
herbe;
grise;
.;
Juste;
au-dessus;
des;
personnages;
;
dans;
un;
lointain;
de;
convention;
;
on;
apercevait;
cinq;
petites;
maisons;
rondes;
;
aux;
toits;
aigus;
;
et;
là;
-;
haut;
;
presque;
dans;
le;
ciel;
;
un;
moulin;
à;
vent;
tout;
rouge;
.;
De;
grands;
ramages;
;
figurant;
des;
fleurs;
;
circulaient;
dans;
tout;
cela;
.;
Les;
deux;
autres;
panneaux;
ressemblaient;
beaucoup;
au;
premier;
;
sauf;
qu';
on;
voyait;
sortir;
des;
maisons;
quatre;
petits;
bonshommes;
vêtus;
à;
la;
façon;
des;
Flamands;B-MISC
et;
qui;
levaient;
les;
bras;
au;
ciel;
en;
signe;
d';
étonnement;
et;
de;
colère;
extrêmes;
.;
Mais;
la;
dernière;
tenture;
représentait;
un;
drame;
.;
Près;
du;
lapin;
qui;
broutait;
toujours;
;
le;
jeune;
homme;
étendu;
semblait;
mort;
.;
La;
jeune;
dame;
;
le;
regardant;
;
se;
perçait;
le;
sein;
d';
une;
épée;
;
et;
les;
fruits;
de;
l';
arbre;
étaient;
devenus;
noirs;
.;
Jeanne;B-PER
renonçait;
à;
comprendre;
quand;
elle;
découvrit;
dans;
un;
coin;
une;
bestiole;
microscopique;
;
que;
le;
lapin;
;
s';
il;
eût;
vécu;
;
aurait;
pu;
manger;
comme;
un;
brin;
d';
herbe;
.;
Et;
cependant;
c';
était;
un;
lion;
.;
Alors;
elle;
reconnut;
les;
malheurs;
de;
Pyrame;B-PER
et;
de;
Thysbé;B-PER
;
et;
;
quoiqu';
elle;
sourît;
de;
la;
simplicité;
des;
dessins;
;
elle;
se;
sentit;
heureuse;
d';
être;
enfermée;
dans;
cette;
