;8;127;10;10
...;;;;
Il;;;;
fallait;;;;
pleurer;;;;
,;;;;
mon;;;;
bon;;;;
monsieur;;X;;
Eyssette;;X;;
,;;;;
il;;;;
fallait;;;;
pleurer;;;;
doublement;;;;
.;;;;
C';;;;
est;;;;
une;;;;
verite;;;;
,;;;;
je;;;;
fus;;;;
la;;;;
mauvaise;;;;
etoile;;;;
de;;;;
mes;;;;
parents;;;;
.;;;;
Du;;;;
jour;;;;
de;;;;
ma;;;;
naissance;;;;
,;;;;
d';;;;
incroyables;;;;
malheurs;;;;
les;;;;
assaillirent;;;;
par;;;;
vingt;;;;
endroits;;;;
.;;;;
D';;;;
abord;;;;
nous;;;;
emes;;;;
donc;;;;
le;;;;
client;;;;
de;;;;
Marseille;X;;;
,;;;;
puis;;;;
deux;;;;
fois;;;;
le;;;;
feu;;;;
dans;;;;
la;;;;
meme;;;;
annee;;;;
,;;;;
puis;;;;
la;;;;
greve;;;;
des;;;;
ourdisseuses;;;;
,;;;;
puis;;;;
notre;;;;
brouille;;;;
avec;;;;
l';;X;;
oncle;;X;;
Baptiste;;X;;
,;;;;
puis;;;;
un;;;;
proces;;;;
tres;;;;
coteux;;;;
avec;;;;
nos;;;;
marchands;;;;
de;;;;
couleurs;;;;
,;;;;
puis;;;;
,;;;;
enfin;;;;
,;;;;
la;;;;X
Revolution;;;;X
de;;;;X
r8;;;;X
...;;;;
,;;;;
qui;;;;
nous;;;;
donna;;;;
le;;;;
coup;;;;
de;;;;
grace;;;;
.;;;;
A;;;;
partir;;;;
de;;;;
ce;;;;
moment;;;;
,;;;;
la;;;;
fabrique;;;;
ne;;;;
battit;;;;
plus;;;;
que;;;;
d';;;;
une;;;;
aile;;;;
	;;;;
petit;;;;
a;;;;
petit;;;;
,;;;;
les;;;;
ateliers;;;;
se;;;;
viderent;;;;
:;;;;
chaque;;;;
semaine;;;;
un;;;;
metier;;;;
a;;;;
bas;;;;
,;;;;
chaque;;;;
mois;;;;
une;;;;
table;;;;
d';;;;
impression;;;;
de;;;;
moins;;;;
.;;;;
C';;;;
etait;;;;
pitie;;;;
de;;;;
voir;;;;
la;;;;
vie;;;;
s';;;;
en;;;;
aller;;;;
de;;;;
notre;;;;
maison;;;;
comme;;;;
d';;;;
un;;;;
corps;;;;
malade;;;;
,;;;;
lentement;;;;
,;;;;
tous;;;;
les;;;;
jours;;;;
un;;;;
peu;;;;
.;;;;
Une;;;;
fois;;;;
,;;;;
on;;;;
n';;;;
entra;;;;
plus;;;;
dans;;;;
les;;;;
salles;;;;
du;;;;
second;;;;
.;;;;
Une;;;;
autre;;;;
fois;;;;
,;;;;
la;;;;
cour;;;;
du;;;;
fond;;;;
fut;;;;
condamnee;;;;
.;;;;
Cela;;;;
dura;;;;
ainsi;;;;
pendant;;;;
deux;;;;
ans;;;;
	;;;;
pendant;;;;
deux;;;;
ans;;;;
,;;;;
la;;;;
fabrique;;;;
agonisa;;;;
.;;;;
Enfin;;;;
,;;;;
un;;;;
jour;;;;
,;;;;
les;;;;
ouvriers;;;;
ne;;;;
vinrent;;;;
plus;;;;
,;;;;
la;;;;
cloche;;;;
des;;;;
ateliers;;;;
ne;;;;
sonna;;;;
pas;;;;
,;;;;
le;;;;
puits;;;;
a;;;;
roue;;;;
cessa;;;;
de;;;;
grincer;;;;
,;;;;
l';;;;
eau;;;;
des;;;;
grands;;;;
bassins;;;;
,;;;;
dans;;;;
lesquels;;;;
on;;;;
lavait;;;;
les;;;;
tissus;;;;
,;;;;
demeura;;;;
immobile;;;;
,;;;;
et;;;;
bientot;;;;
,;;;;
dans;;;;
toute;;;;
la;;;;
fabrique;;;;
,;;;;
il;;;;
ne;;;;
resta;;;;
plus;;;;
que;;;;
M.;;X;;
et;;X;;
Me;;X;;
Eyssette;;X;;
,;;;;
la;;X;;
vieille;;X;;
Annou;;X;;
,;;;;
mon;;;;
frere;;;;
Jacques;;X;;
et;;;;
moi;;;;
	;;;;
puis;;;;
,;;;;
la;;;;
-;;;;
bas;;;;
,;;;;
dans;;;;
le;;;;
fond;;;;
,;;;;
pour;;;;
garder;;;;
les;;;;
ateliers;;;;
,;;;;
le;;X;;
concierge;;X;;
Colombe;;X;;
et;;;;
son;;;;
fils;;;;
le;;X;;
petit;;X;;
Rouget;;X;;
.;;;;
C';;;;
etait;;;;
fini;;;;
,;;;;
nous;;;;
etions;;;;
ruines;;;;
.;;;;
';;;;
avais;;;;
alors;;;;
six;;;;
ou;;;;
sept;;;;
ans;;;;
.;;;;
Comme;;;;
j';;;;
etais;;;;
tres;;;;
frele;;;;
et;;;;
maladif;;;;
,;;;;
mes;;;;
parents;;;;
n';;;;
avaient;;;;
pas;;;;
voulu;;;;
m';;;;
envoyer;;;;
a;;;;
l';;;;
ecole;;;;
.;;;;
Ma;;;;
mere;;;;
m';;;;
avait;;;;
seulement;;;;
appris;;;;
a;;;;
lire;;;;
et;;;;
a;;;;
ecrire;;;;
,;;;;
plus;;;;
quelques;;;;
mots;;;;
d';;;;
espagnol;;;;
et;;;;
deux;;;;
ou;;;;
trois;;;;
airs;;;;
de;;;;
guitare;;;;
,;;;;
a;;;;
l';;;;
aide;;;;
desquels;;;;
on;;;;
m';;;;
avait;;;;
fait;;;;
,;;;;
dans;;;;
la;;;;
famille;;;;
,;;;;
une;;;;
reputation;;;;
de;;;;
petit;;;;
prodige;;;;
.;;;;
Grace;;;;
a;;;;
ce;;;;
systeme;;;;
d';;;;
education;;;;
,;;;;
je;;;;
ne;;;;
bougeais;;;;
jamais;;;;
de;;;;
chez;;;;
nous;;;;
,;;;;
et;;;;
je;;;;
pus;;;;
assister;;;;
dans;;;;
tous;;;;
ses;;;;
details;;;;
a;;;;
l';;;;
agonie;;;;
de;;;;
la;;;X;
maison;;;X;
Eyssette;;;X;
.;;;;
Ce;;;;
spectacle;;;;
me;;;;
laissa;;;;
froid;;;;
,;;;;
LA;;;;
FABRIQUE;;;;
je;;;;
l';;;;
avoue;;;;
	;;;;
meme;;;;
je;;;;
trouvai;;;;
h;;;;
notre;;;;
ruine;;;;
ce;;;;
c6te;;;;
tres;;;;
agreable;;;;
,;;;;
que;;;;
je;;;;
pouvais;;;;
gambader;;;;
a;;;;
ma;;;;
guise;;;;
par;;;;
toute;;;;
la;;;;
fabrique;;;;
,;;;;
ce;;;;
qui;;;;
,;;;;
du;;;;
temps;;;;
des;;;;
ouvriers;;;;
,;;;;
ne;;;;
m';;;;
etait;;;;
permis;;;;
que;;;;
le;;;;
dimanche;;;;
.;;;;
Je;;;;
disais;;;;
gravement;;;;
au;;X;;
petit;;X;;
Rouget;;X;;
:;;;;
Maintenant;;;;
,;;;;
la;;;;
fabrique;;;;
est;;;;
a;;;;
moi;;;;
	;;;;
on;;;;
me;;;;
l';;;;
a;;;;
donnee;;;;
pour;;;;
jouer;;;;
.;;;;
Et;;;;
le;;X;;
petit;;X;;
Rouget;;X;;
me;;;;
croyait;;;;
.;;;;
Il;;;;
croyait;;;;
tout;;;;
ce;;;;
que;;;;
je;;;;
lui;;;;
disais;;;;
,;;;;
cet;;;;
imbecile;;;;
.;;;;
A;;;;
la;;;;
maison;;;;
,;;;;
par;;;;
exemple;;;;
,;;;;
tout;;;;
le;;;;
monde;;;;
ne;;;;
prit;;;;
pas;;;;
notre;;;;
debacle;;;;
aussi;;;;
gaiement;;;;
.;;;;
Tout;;;;
a;;;;
coup;;;;
M.;;X;;
Eyssette;;X;;
devint;;;;
terrible;;;;
	;;;;
c';;;;
etait;;;;
dans;;;;
l';;;;
habitude;;;;
une;;;;
nature;;;;
enflammee;;;;
,;;;;
violente;;;;
,;;;;
exageree;;;;
,;;;;
aimant;;;;
les;;;;
cris;;;;
,;;;;
la;;;;
casse;;;;
et;;;;
les;;;;
tonnerres;;;;
	;;;;
au;;;;
fond;;;;
,;;;;
un;;;;
tres;;;;
excellent;;;;
homme;;;;
,;;;;
ayant;;;;
seulement;;;;
la;;;;
main;;;;
leste;;;;
,;;;;
le;;;;
verbe;;;;
haut;;;;
et;;;;
l';;;;
imperieux;;;;
besoin;;;;
de;;;;
donner;;;;
le;;;;
tremblement;;;;
a;;;;
tout;;;;
ce;;;;
qui;;;;
l';;;;
entourait;;;;
.;;;;
La;;;;
mauvaise;;;;
fortune;;;;
,;;;;
au;;;;
lieu;;;;
de;;;;
l';;;;
abattre;;;;
,;;;;
l';;;;
exaspera;;;;
.;;;;
Ou;;;;
soir;;;;
au;;;;
matin;;;;
,;;;;
ce;;;;
fut;;;;
une;;;;
colere;;;;
formidable;;;;
qui;;;;
,;;;;
ne;;;;
sachant;;;;
qui;;;;
s';;;;
en;;;;
prendre;;;;
,;;;;
s';;;;
attaquait;;;;
tout;;;;
,;;;;
au;;;;
soleil;;;;
,;;;;
au;;;;
mistral;;;;
,;;;;
a;;;;
Jacques;;X;;
,;;;;
a;;;;
la;;X;;
vieille;;X;;
Annou;;X;;
,;;;;
a;;;;
la;;;;
Revolution;;;;
,;;;;
ohl;;;;
surtout;;;;
a;;;;
la;;;;
Revolutionl;;;;
...;;;;
A;;;;
entendre;;;;
mon;;;;
pere;;;;
,;;;;
vous;;;;
auriez;;;;
jure;;;;
que;;;;
cette;;;;
Revo-;;;;X
lution;;;;X
de;;;;X
8;;;;X
...;;;;
,;;;;
qui;;;;
nous;;;;
avait;;;;
mis;;;;
a;;;;
mal;;;;
,;;;;
etait;;;;
specialement;;;;
dirigee;;;;
contre;;;;
nous;;;;
.;;;;
Aussi;;;;
,;;;;
je;;;;
vous;;;;
prie;;;;
de;;;;
croire;;;;
que;;;;
les;;;;
revolutionnaires;;;;
n';;;;
etaient;;;;
pas;;;;
en;;;;
odeur;;;;
de;;;;
saintete;;;;
dans;;;;
la;;;X;
maison;;;X;
Eyssette;;;X;
.;;;;
Dieu;;;;
sait;;;;
ce;;;;
que;;;;
nous;;;;
avons;;;;
dit;;;;
de;;;;
ces;;;;
messieurs;;;;
dans;;;;
ce;;;;
temps;;;;
-;;;;
la;;;;
...;;;;
Encore;;;;
aujourd'hui;;;;
,;;;;
quand;;;;
le;;X;;
vieux;;X;;
papa;;X;;
Eyssette;;X;;
(;;;;
que;;;;
Dieu;;X;;
me;;;;
le;;;;
conservel;;;;
);;;;
sent;;;;
venir;;;;
son;;;;
acces;;;;
de;;;;
goutte;;;;
,;;;;
il;;;;
s';;;;
etend;;;;
peniblement;;;;
sur;;;;
sa;;;;
chaise;;;;
longue;;;;
,;;;;
et;;;;
nous;;;;
l';;;;
entendons;;;;
dire;;;;
:;;;;
Ohl;;;;
ces;;;;
revolutionnaires;;;;
l;;;;
...;;;;
n;;;;
A;;;;
l';;;;
epoque;;;;
dont;;;;
je;;;;
vous;;;;
parle;;;;
,;;;;
M.;;X;;
Eyssette;;X;;
n';;;;
avait;;;;
pas;;;;
la;;;;
goutte;;;;
,;;;;
et;;;;
la;;;;
douleur;;;;
de;;;;
se;;;;
voir;;;;
ruine;;;;
en;;;;
avait;;;;
fait;;;;
un;;;;
homme;;;;
terrible;;;;
que;;;;
personne;;;;
ne;;;;
pouvait;;;;
approcher;;;;
.;;;;
Il;;;;
fallut;;;;
le;;;;
saigner;;;;
deux;;;;
fois;;;;
en;;;;
quinze;;;;
jours;;;;
.;;;;
Autour;;;;
de;;;;
lui;;;;
,;;;;
chacun;;;;
se;;;;
taisait;;;;
	;;;;
on;;;;
avait;;;;
peur;;;;
.;;;;
A;;;;
table;;;;
,;;;;
nous;;;;
demandions;;;;
du;;;;
pain;;;;
a;;;;
voix;;;;
basse;;;;
.;;;;
On;;;;
n';;;;
osait;;;;
pas;;;;
meme;;;;
pleurer;;;;
devant;;;;
lui;;;;
.;;;;
Aussi;;;;
,;;;;
des;;;;
qu';;;;
il;;;;
avait;;;;
tourne;;;;
les;;;;
talons;;;;
,;;;;
ce;;;;
n';;;;
tait;;;;
qu';;;;
un;;;;
sanglot;;;;
,;;;;
d';;;;
un;;;;
bout;;;;
de;;;;
la;;;;
maison;;;;
a;;;;
l';;;;
autre;;;;
	;;;;
ma;;;;
mere;;;;
,;;;;
la;;X;;
vieille;;X;;
Annou;;X;;
,;;;;
mon;;;;
frere;;;;
Jacques;;X;;
et;;;;
aussi;;;;
mon;;;;
grand;;;;
frere;;;;
l';;X;;
abbe;;X;;
,;;;;
lorsqu';;;;
il;;;;
venait;;;;
nous;;;;
voir;;;;
,;;;;
tout;;;;
le;;;;
monde;;;;
s';;;;
y;;;;
mettait;;;;
.;;;;
Ma;;;;
mere;;;;
,;;;;
cela;;;;
se;;;;
congoit;;;;
,;;;;
pleurait;;;;
de;;;;
voir;;;;
MI;;X;;
.;;X;;
Eyssette;;X;;
malheureux;;;;
	;;;;
l';;X;;
abbe;;X;;
et;;;;
la;;X;;
vieille;;X;;
Annou;;X;;
pleuraient;;;;
de;;;;
voir;;;;
plcurer;;;;
Me;;X;;
Eyssette;;X;;
	;;;;
quant;;;;
a;;;;
Jacques;;X;;
,;;;;
trop;;;;
jeune;;;;
encore;;;;
pour;;;;
comprendre;;;;
nos;;;;
malheurs;;;;
,;;;;
-;;;;
il;;;;
avait;;;;
a;;;;
peine;;;;
deux;;;;
ans;;;;
de;;;;
plus;;;;
que;;;;
moi;;;;
,;;;;
-;;;;
il;;;;
pleurait;;;;
par;;;;
besoin;;;;
,;;;;
pour;;;;
le;;;;
plaisir;;;;
.;;;;
Un;;;;
singulier;;;;
enfant;;;;
que;;;;
mon;;;;
frere;;;;
Jacques;;X;;
	;;;;
en;;;;
voila;;;;
un;;;;
qui;;;;
avait;;;;
le;;;;
don;;;;
des;;;;
larmesl;;;;
D';;;;
aussi;;;;
loin;;;;
qu';;;;
il;;;;
me;;;;
souvienne;;;;
,;;;;
je;;;;
le;;;;
vois;;;;
,;;;;
les;;;;
yeuxLE;;;;
PETIT;;;;
CHOSE;;;;
rouges;;;;
et;;;;
la;;;;
joue;;;;
ruisselante;;;;
.;;;;
Le;;;;
soir;;;;
,;;;;
le;;;;
matin;;;;
,;;;;
de;;;;
jour;;;;
,;;;;
de;;;;
nuit;;;;
,;;;;
en;;;;
classe;;;;
,;;;;
a;;;;
la;;;;
maison;;;;
,;;;;
en;;;;
promenade;;;;
,;;;;
il;;;;
pleurait;;;;
sans;;;;
cesse;;;;
,;;;;
il;;;;
pleurait;;;;
partout;;;;
.;;;;
Quand;;;;
on;;;;
lui;;;;
disait;;;;
:;;;;
a;;;;
OQu';;;;
as;;;;
-;;;;
tu;;;;
il;;;;
repondait;;;;
en;;;;
sanglotant;;;;
:;;;;
Je;;;;
n';;;;
ai;;;;
rien;;;;
.;;;;
Et;;;;
,;;;;
le;;;;
plus;;;;
curieux;;;;
,;;;;
c';;;;
est;;;;
qu';;;;
il;;;;
n';;;;
avait;;;;
rien;;;;
.;;;;
Il;;;;
pleurait;;;;
comme;;;;
on;;;;
se;;;;
mouche;;;;
,;;;;
plus;;;;
souvent;;;;
,;;;;
voila;;;;
tout;;;;
.;;;;
Quelquefois;;;;
M.;;X;;
Eyssette;;X;;
,;;;;
exaspere;;;;
,;;;;
disait;;;;
a;;;;
ma;;;;
mere;;;;
:;;;;
aCet;;;;
enfant;;;;
est;;;;
ridicule;;;;
,;;;;
regardez;;;;
-;;;;
lel;;;;
...;;;;
c';;;;
est;;;;
un;;;;
fleuve;;;;
.;;;;
A;;;;
quoi;;;;
Mme;;X;;
Eyssette;;X;;
repondait;;;;
de;;;;
sa;;;;
voix;;;;
douce;;;;
:;;;;
Que;;;;
veux;;;;
-;;;;
tu;;;;
,;;;;
mon;;;;
ami;;;;
?;;;;
cela;;;;
passera;;;;
en;;;;
grandissant;;;;
	;;;;
a;;;;
son;;;;
age;;;;
,;;;;
j';;;;
etais;;;;
comme;;;;
lui;;;;
.;;;;
En;;;;
attendant;;;;
,;;;;
Jacques;;X;;
grandissait;;;;
	;;;;
il;;;;
grandissait;;;;
beaucoup;;;;
meme;;;;
,;;;;
et;;;;
cela;;;;
ne;;;;
lui;;;;
passait;;;;
pas;;;;
.;;;;
Tout;;;;
au;;;;
contraire;;;;
,;;;;
la;;;;
singuliere;;;;
aptitude;;;;
qu';;;;
avait;;;;
cet;;;;
etrange;;;;
garcon;;;;
a;;;;
repandre;;;;
sans;;;;
raison;;;;
des;;;;
averses;;;;
de;;;;
larmes;;;;
allait;;;;
chaque;;;;
jour;;;;
en;;;;
augmentant;;;;
.;;;;
Aussi;;;;
la;;;;
desolation;;;;
de;;;;
nos;;;;
parents;;;;
lui;;;;
fut;;;;
une;;;;
grande;;;;
fortune;;;;
...;;;;
C';;;;
est;;;;
pour;;;;
le;;;;
coup;;;;
qu';;;;
il;;;;
s';;;;
en;;;;
donna;;;;
de;;;;
sangloter;;;;
a;;;;
son;;;;
aise;;;;
,;;;;
des;;;;
journees;;;;
entieres;;;;
,;;;;
sans;;;;
que;;;;
personne;;;;
vint;;;;
lui;;;;
dire;;;;
:;;;;
Qu';;;;
as;;;;
-;;;;
tun;;;;
En;;;;
somme;;;;
,;;;;
pour;;;;
Jacques;;X;;
comme;;;;
pour;;;;
moi;;;;
,;;;;
notre;;;;
ruine;;;;
avait;;;;
son;;;;
joli;;;;
cote;;;;
.;;;;
Pour;;;;
ma;;;;
part;;;;
,;;;;
j';;;;
etais;;;;
tres;;;;
heureux;;;;
.;;;;
On;;;;
ne;;;;
s';;;;
occupait;;;;
plus;;;;
de;;;;
moi;;;;
.;;;;
';;;;
en;;;;
profitais;;;;
pour;;;;
jouer;;;;
tout;;;;
le;;;;
jour;;;;
avec;;;;
Rouget;;X;;
parmi;;;;
les;;;;
ateliers;;;;
deserts;;;;
,;;;;
oi;;;;
nos;;;;
pas;;;;
sonnaient;;;;
comme;;;;
dans;;;;
une;;;;
eglise;;;;
,;;;;
et;;;;
les;;;;
grandes;;;;
cours;;;;
abandonnees;;;;
,;;;;
que;;;;
l';;;;
herbe;;;;
envahissait;;;;
deja;;;;
.;;;;
Ce;;;;
jeune;;;;
Rouget;;X;;
,;;;;
fils;;;;
du;;X;;
concierge;;X;;
Colombe;;X;;
,;;;;
etait;;;;
un;;;;
gros;;;;
garcon;;;;
d';;;;
une;;;;
douzaine;;;;
d';;;;
annees;;;;
,;;;;
fort;;;;
comme;;;;
un;;;;
beuf;;;;
,;;;;
devoue;;;;
comme;;;;
un;;;;
chien;;;;
,;;;;
bete;;;;
comme;;;;
une;;;;
oie;;;;
et;;;;
remarquable;;;;
surtout;;;;
par;;;;
une;;;;
chevelure;;;;
rouge;;;;
,;;;;
a;;;;
laquelle;;;;
il;;;;
devait;;;;
son;;;;
surnom;;;;
de;;;;
Rouget;;X;;
.;;;;
Seulement;;;;
,;;;;
je;;;;
vais;;;;
vous;;;;
dire;;;;
:;;;;
Rouget;;X;;
,;;;;
pour;;;;
moi;;;;
,;;;;
n';;;;
etait;;;;
pas;;;;
Rouget;;X;;
.;;;;
Il;;;;
etait;;;;
tour;;;;
a;;;;
tour;;;;
mon;;;;
fidele;;;;
Vendredi;;X;;
,;;;;
une;;;;
tribu;;;;
de;;;;
sauvages;;;;
,;;;;
un;;;;
equipage;;;;
revolte;;;;
,;;;;
tout;;;;
ce;;;;
qu';;;;
on;;;;
voulait;;;;
.;;;;
Moi;;;;
-;;;;
meme;;;;
,;;;;
en;;;;
ce;;;;
temps;;;;
-;;;;
la;;;;
,;;;;
je;;;;
ne;;;;
m';;;;
appelais;;;;
pas;;;;
Daniel;;X;;
Eyssette;;X;;
	;;;;
j';;;;
etais;;;;
cet;;;;
homme;;;;
singulier;;;;
,;;;;
vetu;;;;
de;;;;
peaux;;;;
de;;;;
betes;;;;
,;;;;
dont;;;;
on;;;;
venait;;;;
de;;;;
me;;;;
donner;;;;
les;;;;
aventures;;;;
,;;;;
master;;;;
Crusoe;;X;;
lui;;;;
-;;;;
meme;;;;
.;;;;
Douce;;;;
folie;;;;
l;;;;
Le;;;;
soir;;;;
,;;;;
apres;;;;
souper;;;;
,;;;;
je;;;;
relisais;;;;
mon;;;;
Robinson;;;;X
,;;;;
je;;;;
l';;;;
apprenais;;;;
par;;;;
ceur;;;;
	;;;;
le;;;;
jour;;;;
,;;;;
je;;;;
le;;;;
jouais;;;;
,;;;;
je;;;;
le;;;;
jouais;;;;
avec;;;;
rage;;;;
,;;;;
et;;;;
tout;;;;
ce;;;;
qui;;;;
m';;;;
entourait;;;;
,;;;;
je;;;;
l';;;;
enrolais;;;;
dans;;;;
ma;;;;
comedie;;;;
.;;;;
La;;;;
fabrique;;;;
n';;;;
etait;;;;
plus;;;;
la;;;;
fabrique;;;;
	;;;;
c';;;;
etait;;;;
mon;;;;
fle;;;;
deserte;;;;
,;;;;
ohl;;;;
bien;;;;
deserte;;;;
.;;;;
Les;;;;
bassins;;;;
jouaient;;;;
le;;;;
rOle;;;;
d';;;;
Ocean;;;;
.;;;;
Le;;;;
jardin;;;;
faisait;;;;
une;;;;
foret;;;;
vierge;;;;
.;;;;
Il;;;;
y;;;;
avait;;;;
dans;;;;
les;;;;
platanes;;;;
un;;;;
tas;;;;
de;;;;
cigales;;;;
qui;;;;
etaient;;;;
de;;;;
la;;;;
piece;;;;
et;;;;
qui;;;;
ne;;;;
le;;;;
savaient;;;;
pas;;;;
.;;;;
Rouget;;X;;
,;;;;
lui;;;;
non;;;;
plus;;;;
,;;;;
ne;;;;
se;;;;
doutait;;;;
guere;;;;
de;;;;
l';;;;
importance;;;;
de;;;;
son;;;;
role;;;;
.;;;;
Si;;;;
on;;;;
lui;;;;
avait;;;;
demande;;;;
ce;;;;
que;;;;
c';;;;
etait;;;;
que;;;;
Robinson;;;;X
,;;;;
on;;;;
l';;;;
auraitLA;;;;
FABRIQUE;;;;
.;;;;
bien;;;;
embarrasse;;;;
	;;;;
pourtant;;;;
je;;;;
dois;;;;
dire;;;;
qu';;;;
il;;;;
tenait;;;;
son;;;;
emploi;;;;
avec;;;;
la;;;;
plus;;;;
grande;;;;
conviction;;;;
,;;;;
et;;;;
que;;;;
,;;;;
pour;;;;
imiter;;;;
le;;;;
rugissement;;;;
des;;;;
sau-;;;;
vages;;;;
,;;;;
il;;;;
n';;;;
y;;;;
en;;;;
avait;;;;
pas;;;;
comme;;;;
lui;;;;
.;;;;
Ou;;;;
avait;;;;
-il;;;;
appris;;;;
e;;;;
l';;;;
ignore;;;;
.;;;;
Toujours;;;;
est;;;;
-il;;;;
que;;;;
ces;;;;
grands;;;;
rugissements;;;;
de;;;;
sauvage;;;;
qu';;;;
il;;;;
allait;;;;
chercher;;;;
dans;;;;
le;;;;
fond;;;;
de;;;;
sa;;;;
gorge;;;;
,;;;;
en;;;;
agitant;;;;
sa;;;;
forte;;;;
criniere;;;;
rouge;;;;
,;;;;
auraient;;;;
fait;;;;
fremir;;;;
les;;;;
plus;;;;
braves;;;;
.;;;;
MIoi;;;;
-;;;;
meme;;;;
,;;;;
Robinson;;X;;
,;;;;
j';;;;
en;;;;
avais;;;;
quelquefois;;;;
le;;;;
ceur;;;;
bouleverse;;;;
,;;;;
et;;;;
j';;;;
etais;;;;
oblige;;;;
de;;;;
lui;;;;
dire;;;;
a;;;;
voix;;;;
basse;;;;
:;;;;
Pas;;;;
si;;;;
fort;;;;
,;;;;
Rouget;;X;;
,;;;;
tu;;;;
me;;;;
fais;;;;
peur;;;;
.;;;;
Malheureusement;;;;
,;;;;
si;;;;
Rouget;;X;;
imitait;;;;
le;;;;
cri;;;;
des;;;;
sauvages;;;;
tres;;;;
bien;;;;
,;;;;
il;;;;
savait;;;;
encore;;;;
mieux;;;;
